date,pollution_today,dew,temp,press,wnd_spd,snow,rain,pollution_yesterday
2010-01-02,145.95833333333334,-8.5,-5.125,1024.75,24.86,0.7083333333333334,0.0,10.041666666666666
2010-01-03,78.83333333333333,-10.125,-8.541666666666666,1022.7916666666665,70.93791666666667,14.166666666666664,0.0,145.95833333333334
2010-01-04,31.33333333333333,-20.875,-11.5,1029.2916666666667,111.16083333333334,0.0,0.0,78.83333333333333
2010-01-05,42.458333333333336,-24.58333333333333,-14.458333333333336,1033.625,56.91999999999999,0.0,0.0,31.33333333333333
2010-01-06,56.41666666666666,-23.70833333333333,-12.541666666666664,1033.75,18.511666666666667,0.0,0.0,42.458333333333336
2010-01-07,69.0,-21.25,-12.5,1034.0833333333333,10.169999999999996,0.0,0.0,56.41666666666666
2010-01-08,176.20833333333337,-17.125,-11.708333333333336,1028.0,1.9729166666666669,0.0,0.0,69.0
2010-01-09,88.5,-16.333333333333332,-9.125,1029.0416666666667,13.29875,0.0,0.0,176.20833333333337
2010-01-10,57.25,-15.958333333333336,-8.75,1032.5,17.41583333333333,0.0,0.0,88.5
2010-01-11,20.0,-20.70833333333333,-8.708333333333334,1034.3333333333333,41.68583333333333,0.0,0.0,57.25
2010-01-12,20.75,-23.54166666666667,-12.416666666666664,1030.7083333333333,60.37833333333333,0.0,0.0,20.0
2010-01-13,40.208333333333336,-21.95833333333333,-10.0,1030.4583333333333,169.75416666666663,0.0,0.0,20.75
2010-01-14,93.70833333333331,-17.625,-9.5,1025.2083333333333,13.238749999999996,0.0,0.0,40.208333333333336
2010-01-15,45.45833333333334,-17.166666666666668,-7.041666666666668,1036.8333333333333,12.381666666666662,0.0,0.0,93.70833333333331
2010-01-16,177.625,-13.5,-8.416666666666666,1033.0416666666667,2.677916666666667,0.0,0.0,45.45833333333334
2010-01-17,209.20833333333331,-12.083333333333336,-7.25,1028.8333333333333,4.1345833333333335,0.0,0.0,177.625
2010-01-18,260.2083333333333,-9.666666666666666,-4.916666666666667,1026.75,4.916250000000002,0.0,0.0,209.20833333333331
2010-01-19,340.75,-3.7916666666666665,0.2916666666666667,1020.6666666666665,4.788333333333334,0.0,0.0,260.2083333333333
2010-01-20,85.33333333333333,-11.041666666666664,-1.1666666666666667,1030.2083333333333,34.48125,0.0,0.0,340.75
2010-01-21,27.04166666666667,-21.166666666666668,-6.125,1036.375,59.07083333333335,0.0,0.0,85.33333333333333
2010-01-22,29.41666666666667,-18.791666666666668,-4.583333333333333,1034.375,93.06208333333332,0.0,0.0,27.04166666666667
2010-01-23,23.965686274509807,-17.708333333333332,-1.9166666666666667,1028.0,43.89208333333334,0.0,0.0,29.41666666666667
2010-01-24,40.9264705882353,-17.25,-3.4166666666666665,1021.4166666666665,31.695833333333336,0.0,0.0,23.965686274509807
2010-01-25,64.22058823529413,-21.875,-3.0416666666666665,1032.5,146.20208333333332,0.0,0.0,40.9264705882353
2010-01-26,138.63725490196077,-15.375,-5.666666666666668,1024.7083333333333,3.1466666666666683,0.0,0.0,64.22058823529413
2010-01-27,122.33333333333331,-11.708333333333336,1.125,1016.2083333333335,24.70708333333333,0.0,0.0,138.63725490196077
2010-01-28,21.166666666666668,-19.125,-1.2083333333333333,1026.1666666666667,41.2725,0.0,0.0,122.33333333333331
2010-01-29,23.875,-21.625,0.625,1022.8333333333335,44.32833333333334,0.0,0.0,21.166666666666668
2010-01-30,44.29166666666666,-18.70833333333333,1.9583333333333333,1019.5416666666665,40.01583333333333,0.0,0.0,23.875
2010-01-31,39.25,-15.791666666666664,1.3333333333333333,1024.2083333333333,62.51041666666666,0.0,0.0,44.29166666666666
2010-02-01,64.79166666666667,-10.083333333333334,-2.875,1026.75,13.037916666666666,0.0,0.0,39.25
2010-02-02,65.625,-16.291666666666668,-5.416666666666668,1028.2916666666667,5.959583333333334,0.0,0.0,64.79166666666667
2010-02-03,77.54166666666667,-19.95833333333333,-5.166666666666667,1028.5,14.9175,0.0,0.0,65.625
2010-02-04,58.5,-20.5,-5.041666666666667,1026.7916666666667,5.606249999999998,0.0,0.0,77.54166666666667
2010-02-05,78.45833333333333,-14.333333333333336,-4.083333333333333,1029.8333333333333,4.7316666666666665,0.0,0.0,58.5
2010-02-06,76.125,-10.458333333333334,-5.0,1030.5416666666667,22.81875,0.6666666666666666,0.0,78.45833333333333
2010-02-07,109.16666666666669,-6.5,-4.333333333333333,1022.6666666666665,5.770833333333331,1.7083333333333333,0.0,76.125
2010-02-08,178.08333333333337,-5.25,-1.5416666666666667,1019.2083333333335,3.257916666666667,0.0,0.0,109.16666666666669
2010-02-09,157.25,-9.833333333333334,0.04166666666666666,1023.7916666666665,3.2954166666666667,0.0,0.0,178.08333333333337
2010-02-10,12.416666666666664,-22.29166666666667,-1.5833333333333333,1030.9583333333333,40.35833333333333,0.0,0.0,157.25
2010-02-11,14.333333333333336,-22.125,-3.6666666666666665,1035.7083333333333,27.060416666666647,0.0,0.0,12.416666666666664
2010-02-12,23.08333333333333,-21.54166666666667,-5.208333333333333,1034.9166666666667,6.852916666666663,0.0,0.0,14.333333333333336
2010-02-13,78.08333333333333,-17.833333333333332,-4.583333333333333,1028.7916666666667,8.95833333333333,0.0,0.0,23.08333333333333
2010-02-14,131.97916666666666,-20.0,-4.208333333333333,1032.5416666666667,9.107916666666666,0.0,0.0,78.08333333333333
2010-02-15,30.0,-22.29166666666667,-5.541666666666668,1035.125,5.97708333333333,0.0,0.0,131.97916666666666
2010-02-16,93.58333333333331,-16.958333333333332,-5.375,1030.2083333333333,7.502499999999999,0.0,0.0,30.0
2010-02-17,67.29166666666667,-19.08333333333333,-2.2916666666666665,1026.25,43.65750000000001,0.0,0.0,93.58333333333331
2010-02-18,79.66666666666667,-19.0,-2.0416666666666665,1023.7083333333335,4.61625,0.0,0.0,67.29166666666667
2010-02-19,112.95833333333331,-15.583333333333336,0.08333333333333333,1016.625,3.7375000000000007,0.0,0.0,79.66666666666667
2010-02-20,178.5,-10.291666666666666,0.875,1012.7083333333335,3.64875,0.0,0.0,112.95833333333331
